,filename,class
0,E:\TFG\model_src\dataset\0\71781238823267640402215377532202403315_pxkotz.png,1
1,E:\TFG\model_src\dataset\0\20536686640136348236148679891455886468_k6ga29.png,0
2,E:\TFG\model_src\dataset\0\135803415504923515076821959678074435083_fzis7b.png,2
3,E:\TFG\model_src\dataset\0\125992888035907301147412827114700389399_dkn2qs.png,1
4,E:\TFG\model_src\dataset\0\152191969602076825998375638267191596461_ck9qkz.png,0
5,E:\TFG\model_src\dataset\0\113855343774216031107737439268243531979_3k951l.png,2
6,E:\TFG\model_src\dataset\0\57941606403316582212057234824418628060_6378d5.png,1
7,E:\TFG\model_src\dataset\0\84289138814897824414670894017743137660_xjsw7k.png,0
8,E:\TFG\model_src\dataset\0\102185472428957491598043403159908631419_zb8kcm.png,2
9,E:\TFG\model_src\dataset\0\158127965063113306992304369857531130990_6hpunp.png,1
10,E:\TFG\model_src\dataset\0\173348027872651650413607534885352239722_ksfbkb.png,0
11,E:\TFG\model_src\dataset\0\164248849740406851039799839958404888661_etstxt.png,2
12,E:\TFG\model_src\dataset\0\190661818164302413117064494637559032037_rjylqp.png,1
13,E:\TFG\model_src\dataset\0\105591880985588572332898967525311229749_yqjtuk.png,0
14,E:\TFG\model_src\dataset\0\49602503074420747438297888031645729553_n9jt8a.png,2
15,E:\TFG\model_src\dataset\0\108827928923749560275633988818621694543_am2h7c.png,1
16,E:\TFG\model_src\dataset\0\175828040998318011818448557383860207677_m5a8ih.png,0
17,E:\TFG\model_src\dataset\0\49602503074420747438297888031645729553_2_ut0yzd.png,2
18,E:\TFG\model_src\dataset\0\308945054823978938447250962134271570306_xq9psg.png,1
19,E:\TFG\model_src\dataset\0\101408931302974623103956952273007774313_9stb1t.png,0
20,E:\TFG\model_src\dataset\0\200091420165336548849526592472869689994_n0exds.png,2
21,E:\TFG\model_src\dataset\0\53139581023247562859961808225101213022_ynbqzr.png,1
22,E:\TFG\model_src\dataset\0\121722089111950575741877258740783632351_55kku6.png,0
23,E:\TFG\model_src\dataset\0\210977798151529988809048465340516359010_9v5gtq.png,2
24,E:\TFG\model_src\dataset\0\217957054112931768255394889709366293610_jozdkq.png,1
25,E:\TFG\model_src\dataset\0\257363608869672643452639640460584331841_2m9azj.png,0
26,E:\TFG\model_src\dataset\0\184312736713962370100146067543973751114_9rz4uo.png,2
27,E:\TFG\model_src\dataset\1\4598268884070251488602959428569109445_2_t9bues.png,1
28,E:\TFG\model_src\dataset\0\153144722300895942937262007594583779219_ohw52d.png,0
29,E:\TFG\model_src\dataset\0\161720087930788128392552413311709834803_zw9ndh.png,2
30,E:\TFG\model_src\dataset\1\185949920494711226523493328964722783706_rys1il.png,1
31,E:\TFG\model_src\dataset\0\42728540250863331876520898382409588161_o4q8sm.png,0
32,E:\TFG\model_src\dataset\0\285796371492896407898360932351947981404_dbgkg1.png,2
33,E:\TFG\model_src\dataset\1\129276844207601532410240550897751907741_5vj21e.png,1
34,E:\TFG\model_src\dataset\0\223805166479327036969696654106527616531_2_t9llp8.png,0
35,E:\TFG\model_src\dataset\0\2131660293658241410166268879399943517_h0uqds.png,2
36,E:\TFG\model_src\dataset\1\305201714424567520957637820955601850804_puyz7d.png,1
37,E:\TFG\model_src\dataset\0\62099871704902880343187697364243424587_5pzx3y.png,0
38,E:\TFG\model_src\dataset\0\67670115219232152220849057375830836196_8lyy43.png,2
39,E:\TFG\model_src\dataset\1\280912544203098400557342026688555015556_oh3g9w.png,1
40,E:\TFG\model_src\dataset\0\65266590064606711020514044534829206992_emiz6y.png,0
41,E:\TFG\model_src\dataset\0\249873038001601568166234221238886850574_50gwsz.png,2
42,E:\TFG\model_src\dataset\1\96226280473941028697589967927844809733_u855mj.png,1
43,E:\TFG\model_src\dataset\0\239027903366999274333251661962927457884_0f0trw.png,0
44,E:\TFG\model_src\dataset\0\284353054075043225622260270287627142906_kduagg.png,2
45,E:\TFG\model_src\dataset\2\105677701206041076764483125340481663377_5ekr1c.png,1
46,E:\TFG\model_src\dataset\0\306704549447961580693205362675398392203_lug40p.png,0
47,E:\TFG\model_src\dataset\0\200096693886890384233387953667072134120_qr56jh.png,2
48,E:\TFG\model_src\dataset\2\260071036788782548677918649109458120492_exfgw5.png,1
49,E:\TFG\model_src\dataset\0\306704549447961580693205362675398392203_3_qxsdo7.png,0
50,E:\TFG\model_src\dataset\0\27921971887004377429910738007760650923_nxer0u.png,2
51,E:\TFG\model_src\dataset\2\203013149382255392270531631693591873809_z5p60f.png,1
52,E:\TFG\model_src\dataset\0\130110969611250982875259631791477091714_jxnrnp.png,0
53,E:\TFG\model_src\dataset\0\29061959275698812995362009484658673818_ohnn20.png,2
54,E:\TFG\model_src\dataset\2\193029763611389595355009856405309825261_r2hbuu.png,1
55,E:\TFG\model_src\dataset\0\150762056036635610657089202556643673250_rczqej.png,0
56,E:\TFG\model_src\dataset\0\125879092289461845204346826147336024996_68n2m5.png,2
57,E:\TFG\model_src\dataset\2\81453728416916316147117866463269508144_pre0s8.png,1
58,E:\TFG\model_src\dataset\0\79355438231207002902084777212886277284_k1cyrv.png,0
59,E:\TFG\model_src\dataset\0\77282619552499988495603169384756737738_khn56v.png,2
60,E:\TFG\model_src\dataset\2\258409615580678372262756099815273954354_e8sr4k.png,1
61,E:\TFG\model_src\dataset\0\314277032586409115721922718327642931728_vi0hn8.png,0
62,E:\TFG\model_src\dataset\0\143319468227873148038736847630942919337_uwtqil.png,2
63,E:\TFG\model_src\dataset\2\292948074128069161803943902995378061276_x9b8y3.png,1
64,E:\TFG\model_src\dataset\0\61569799595446412488213405581720832033_b84v2f.png,0
